Authors	Publication Date	Publisher	Description	Citations
Ehsan Abbasnejad, Anthony Dick, Anton van den Hengel	2016/11/23	None	Abstract: This paper presents an infinite variational autoencoder (VAE) whose capacity adapts to suit the input data. This is achieved using a mixture model where the mixing coefficients are modeled by a Dirichlet process, allowing us to integrate over the coefficients when performing inference. Critically, this then allows us to automatically vary the number of autoencoders in the mixture based on the data. Experiments show the flexibility of our method, particularly for semi-supervised learning, where only a small number of training  ...	1
Bohan Zhuang, Guosheng Lin, Chunhua Shen, Ian Reid	2016	None	Abstract In this paper, we aim to learn a mapping (or embedding) from images to a compact binary space in which Hamming distances correspond to a ranking measure for the image retrieval task. We make use of a triplet loss because this has been shown to be most effective for ranking problems. How-ever, training in previous works can be prohibitively expensive due to the fact that optimization is directly performed on the triplet space, where the number of possible triplets for training is cubic in the number of training examples. To  ...	11
Gao Zhu, Fatih Porikli, Hongdong Li	2016	None	Abstract Object tracking has been widely used yet still a challenge for surveillance as the drastic size change, deformation and occlusion present. While it is hard to design such an online classifier that adapts to all those changes, in this paper, we employ an object proposal network to generate a small set of bounding box candidates. In a new frame, only these" object-like" candidates are necessary for the classifier to test, which excludes spurious false positives. We also use them to update and improve the discriminative  ...	6
Gao Zhu, Fatih Porikli, Hongdong Li	2016	None	Abstract Most tracking-by-detection methods employ a local search window around the predicted object location in the current frame assuming the previous location is accurate, the trajectory is smooth, and the computational capacity permits a search radius that can accommodate the maximum speed yet small enough to reduce mismatches. These, however, may not be valid always, in particular for fast and irregularly moving objects. Here, we present an object tracker that is not limited to a local search window and has ability to  ...	15
Yi Zhou, Laurent Kneip, Hongdong Li	2016/10/9	None	Abstract: Low-drift rotation estimation is a crucial part of any accurate odometry system. In this paper, we focus on the problem of 3D rotation estimation with dense depth sensors in environments that consist of piece-wise planar structures, such as corridors and office rooms. An efficient mean-shift paradigm is developed to extract and track planar modes in the surface normal vector distribution on the unit sphere. Robust and piece-wise drift-free behavior is achieved by registering the bundle of planar modes from the current frame  ...	0
Yi Zhou, Laurent Kneip, Hongdong Li	2015/11/23	None	Abstract: Determining the fundamental matrix from a collection of inter-frame homographies (more than two) is a classical problem. The compatibility relationship between the fundamental matrix and any of the ideally consistent homographies can be used to compute the fundamental matrix. Using the direct linear transformation (DLT), the compatibility equation can be translated into a least squares problem and can be easily solved via SVD decomposition. However, this solution is extremely susceptible to noise and motion  ...	0
Hao Zhou, Jose M Alvarez, Fatih Porikli	2016/10/8	None	Abstract To attain a favorable performance on large-scale datasets, convolutional neural networks (CNNs) are usually designed to have very high capacity involving millions of parameters. In this work, we aim at optimizing the number of neurons in a network, thus the number of parameters. We show that, by incorporating sparse constraints into the objective function, it is possible to decimate the number of neurons during the training stage. As a result, the number of parameters and the memory footprint of the neural network are also  ...	6
Lei Zhang, Wei Wei, Yanning Zhang, Chunhua Shen, Anton van den Hengel, Qinfeng Shi	2016/10/8	None	Abstract Hyperspectral images (HSIs) can facilitate extensive computer vision applications with the extra spectra information. However, HSIs often suffer from noise corruption during the practical imaging procedure. Though it has been testified that intrinsic correlation across spectrum and spatial similarity (ie, local similarity in locally smooth areas and non-local similarity among recurrent patterns) in HSIs are useful for denoising, how to fully exploit them together to obtain a good denoising model is seldom studied. In this study, we  ...	0
Junjie Zhang, Jian Zhang, Jianfeng Lu, Chunhua Shen, Kate Curr, Robin Phua, Richard Neville, Elise Edmonds	2016/11/30	None	Abstract: This paper introduces a dataset of historical images created by the State Library of New South Wales and the University of Technology Sydney (UTS). The dataset has a total of 29713 images with 119 unique labels. Each image contains multiple labels. We use a CNN-based framework to explore the feasibility of our dataset in image multi-labeling and retrieval research, and extract semantic level image features for future research use. The experiment results illustrate that effective deep learning models can be trained on our dataset. We  ...	0
Rui Zeng, Ruan Lakemond, Simon Denman, Sridha Sridharan, Clinton Fookes, Stuart Morgan	2016/11/30	None	Abstract: When processing video, it is normally assumed that cameras are vertically oriented such that people appear upright, which helps simplify subsequent processing such as person detection. In real situations, due to the need to provide maximum coverage of the viewing space, cameras are usually placed with arbitrary orientations so the apparent vertical axis of the videos captured may not correspond to the true vertical direction of the captured scene. To rectify this situation, we propose a classification-based system, which  ...	0
Xin Yu, Fatih Porikli	2016/10/8	None	Abstract Conventional face super-resolution methods, also known as face hallucination, are limited up to 2\! ∼\! 4 * 2∼ 4× scaling factors where 4 ∼ 16 4∼ 16 additional pixels are estimated for each given pixel. Besides, they become very fragile when the input low-resolution image size is too small that only little information is available in the input image. To address these shortcomings, we present a discriminative generative network that can ultra-resolve a very low resolution face image of size 16 * 16 16× 16 pixels to its 8 * 8×  ...	9
Anoop Cherian, Suvrit Sra	2017/5/20	None	Abstract: Data encoded as symmetric positive definite (SPD) matrices frequently arise in many areas of computer vision and machine learning. While these matrices form an open subset of the Euclidean space of symmetric matrices, viewing them through the lens of non-Euclidean Riemannian (Riem) geometry often turns out to be better suited in capturing several desirable data properties. Inspired by the great success of dictionary learning and sparse coding (DLSC) for vector-valued data, our goal in this paper is to represent data in  ...	11
	None	None	None	0
Guobao Xiao, Hanzi Wang, Yan Yan, David Suter	2016/10/8	None	Abstract This paper proposes a two-view deterministic geometric model fitting method, termed Superpixel-based Deterministic Fitting (SDF), for multiple-structure data. SDF starts from superpixel segmentation, which effectively captures prior information of feature appearances. The feature appearances are beneficial to reduce the computational complexity for deterministic fitting methods. SDF also includes two original elements, ie, a deterministic sampling algorithm and a novel model selection algorithm. The two  ...	1
Qi Wu, Peng Wang, Chunhua Shen, Anton van den Hengel, Anthony Dick	2016	None	Abstract We propose a method for visual question answering which combines an internal representation of the content of an image with information extracted from a general knowledge base to answer a broad range of image-based questions. This allows more complex questions to be answered using the predominant neural network-based approach than has previously been possible. It particularly allows questions to be asked about the contents of an image, even when the image itself does not contain the whole answer. The  ...	51
Qi Wu, Chunhua Shen, Lingqiao Liu, Anthony Dick, Anton van den Hengel	2016	None	Abstract Much recent progress in Vision-to-Language (V2L) problems has been achieved through a combination of Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs). This approach does not explicitly represent high-level semantic concepts, but rather seeks to progress directly from image features to text. In this paper we investigate whether this direct approach succeeds due to, or despite, the fact that it avoids the explicit representation of high-level information. We propose a method of incorporating high-level  ...	44
Liao Wu, Keyu Wu, Hongliang Ren	2016/10/9	None	Abstract: Comprised of multiple telescoptic precurved tubes that can independently rotate and translate, concentric tube robots (CTRs) are favorable in minimally invasive surgeries thanks to their small size and considerable dexterity along with curvilinear accessibility. However, there is a lack of investigation on improvement of the surgeons' perception which in turn can be used to guide the telemanipulation. In this work, we proposed an eye-in-hand configuration for the concentric tube robot by adding an endoscope to the tip of the inner  ...	1
Xiaoqin Wang, Y Ahmet Şekercioğlu, Tom Drummond, Enrico Natalizio, Isabelle Fantoni, Vincent Frémont	2016/9/19	None	Abstract: We present a scheme for multi-sensor data fusion applications, called Relative Pose based Redundancy Removal (RPRR), that efficiently enhances the wireless channel utilization in bandwidth-constrained operational scenarios for RGB-D camera equipped visual sensor networks. Pairs of nodes cooperatively determine their own relative pose, and by using this knowledge they identify the correlated data related to the common regions of the captured color and depth images. Then, they only transmit the non-redundant  ...	0
Fernando Vanegas, Duncan Campbell, Markus Eich, Felipe Gonzalez	2016/10/9	None	Abstract: In this paper we describe and flight test a novel system architecture for low cost muti-rotor unmanned aerial vehicles (UAVs) for searching, tracking and following a ground target. The UAV uses only on-board sensors for localisation within a GPS-denied space with obstacles. This mission is formulated as a Partially Observable Markov Decision Process (POMDP) and uses a modular framework that runs on the Robotic Operating System (ROS). This system computes a policy for executing actions instead of way-points to navigate and  ...	0
Ben Talbot, Obadiah Lam, Ruth Schulz, Feras Dayoub, Ben Upcroft, Gordon Wyeth	2016/5/16	None	Abstract: This paper shows that by using only symbolic language phrases, a mobile robot can purposefully navigate to specified rooms in previously unexplored environments. The robot intelligently organises a symbolic language description of the unseen environment and “imagines” a representative map, called the abstract map. The abstract map is an internal representation of the topological structure and spatial layout of symbolically defined locations. To perform goal-directed exploration, the abstract map creates a high-level  ...	0
Niko Sünderhauf, Feras Dayoub, Sean McMahon, Ben Talbot, Ruth Schulz, Peter Corke, Gordon Wyeth, Ben Upcroft, Michael Milford	2016	None	Abstract: In this paper we focus on the challenging problem of place categorization and semantic mapping on a robot without environment-specific training. Motivated by their ongoing success in various visual recognition tasks, we build our system upon a state-of-the-art convolutional network. We overcome its closed-set limitations by complementing the network with a series of one-vs-all classifiers that can learn to recognize new semantic classes online. Prior domain knowledge is incorporated by embedding the classification  ...	7
Gavin Suddrey, Markus Eich, Frederic Maire, Jonathan Roberts	2016/12/5	None	Abstract Hierarchical tasks learnt from situation specific explanations are typically limited in how well they generalise to situations beyond the explanation provided. To address this we present an approach to learning functional argument mappings for enabling task generalisation regardless of explanation specificity. These functional argument mappings allow subtasks within a hierarchical task to utilise both arguments provided to the parent task, as well as domain knowledge, to generalise to novel situations. We validate this  ...	0
Mario Strydom, Anjali Jaiprakash, Ross Crawford, Thierry Peynot, Jonathan M Roberts	2016/12/6	None	This paper evaluates the ability of visual segmentation algorithms to detect the space inside the knee joint; as recorded by a surgeon's arthroscopic video camera, during minimally invasive surgery. We call this space the 'instrument gap'. Video data was obtained during cadaver experiments, and three segmentation algorithms were tested and compared against a thousand marked-up frames of the instrument gap, prepared by an expert surgeon. Algorithms tested include adaptive thresholding, watershed, and level set active contours.  ...	0
Thomas Stone, Dario Differt, Michael Milford, Barbara Webb	2016/5/16	None	Abstract: Place recognition is a key capability for navigating robots. While significant advances have been achieved on large, stable platforms such as robot cars, achieving robust performance on rapidly manoeuvring platforms in outdoor natural conditions remains a challenge, with few systems able to deal with both variable conditions and large tilt variations caused by rough terrain. Taking inspiration from biology, we propose a novel combination of sensory modality and image processing to obtain a significant  ...	3
John Skinner, Sourav Garg, Niko Sünderhauf, Peter Corke, Ben Upcroft, Michael Milford	2016/10/9	None	Abstract: Robotic vision, unlike computer vision, typically involves processing a stream of images from a camera with time varying pose operating in an environment with time varying lighting conditions and moving objects. Repeating robotic vision experiments under identical conditions is often impossible, making it difficult to compare different algorithms. For machine learning applications a critical bottleneck is the limited amount of real world image data that can be captured and labelled for both training and testing purposes. In this paper  ...	1
Sareh Shirazi, Conrad Sanderson, Chris McCool, Mehrtash T Harandi	2015/11/23	None	Abstract: We propose an adaptive tracking algorithm where the object is modelled as a continuously updated bag of affine subspaces, with each subspace constructed from the object's appearance over several consecutive frames. In contrast to linear subspaces, affine subspaces explicitly model the origin of subspaces. Furthermore, instead of using a brittle point-to-subspace distance during the search for the object in a new frame, we propose to use a subspace-to-subspace distance by representing candidate image areas also as  ...	3
Fatemehsadat Saleh, Mohammad Sadegh Ali Akbarian, Mathieu Salzmann, Lars Petersson, Stephen Gould, Jose M Alvarez	2016/10/8	None	Abstract Pixel-level annotations are expensive and time consuming to obtain. Hence, weak supervision using only image tags could have a significant impact in semantic segmentation. Recently, CNN-based methods have proposed to fine-tune pre-trained networks using image tags. Without additional information, this leads to poor localization accuracy. This problem, however, was alleviated by making use of objectness priors to generate foreground/background masks. Unfortunately these priors either require training pixel- ...	14
Seyed Hamid Rezatofighi, Anton Milan, Zhen Zhang, Qinfeng Shi, Anthony Dick, Ian Reid	2016	None	None	4
Ruizhi Qiao, Lingqiao Liu, Chunhua Shen, Anton van den Hengel	2016/4/5	None	Abstract Classifying a visual concept merely from its associated online textual source, such as a Wikipedia article, is an attractive research topic in zero-shot learning because it alleviates the burden of manually collecting semantic attributes. Several recent works have pursued this approach by exploring various ways of connecting the visual and text domains. This paper revisits this idea by stepping further to consider one important factor: the textual representation is usually too noisy for the zero-shot learning application. This  ...	14
Abigyat B Prasai, Anjali Jaiprakash, Ajay K Pandey, Ross Crawford, Jonathan Roberts, Liao Wu	2016/11/13	None	Abstract: Conventional concentric tube robots (CTRs) have low dexterity at the tip, which does not fit the requirements of complicated operations in minimally invasive surgery. A 2mm diameter cable-driven micro end effector is designed and fabricated for CTRs to increase dexterity in confined spaces. The end-effector is made by a simple fabrication procedure and is a combination of readily available materials such as polyolefin tube, acrylic and steel strings. If mass produced, the end effector has the potential to be made into a  ...	1
Lukas Polok, Viorela Ila, Pavel Smrz	2016/8/29	None	Abstract: 3D reconstruction has a wide variety of applications in computer graphics, robotics or digital cinema production, among others. With the rapid increase in computing power, it has become more feasible for the reconstruction algorithms to run online, even on mobile devices. Maximum likelihood estimation (MLE) is the adopted technique to deal with the sensor uncertainty. Most of the existing 3D reconstruction frameworks only recover the mean of the reconstructed geometry. Recovering also the variance is highly computationally  ...	0
Trung T Pham, Seyed Hamid Rezatofighi, Ian Reid, Tat-Jun Chin	2016	None	Abstract We tackle the problem of large-scale object detection in images, where the number of objects can be arbitrarily large, and can exhibit significant overlap/occlusion. A successful approach to modelling the large-scale nature of this problem has been via point process density functions which jointly encode object qualities and spatial interactions. But the corresponding optimisation problem is typically difficult or intractable, and many of the best current methods rely on Monte Carlo Markov Chain (MCMC) simulation, which converges  ...	6
Trung T Pham, Markus Eich, Ian Reid, Gordon Wyeth	2016/10/9	None	Abstract: Modern SLAM systems with a depth sensor are able to reliably reconstruct dense 3D geometric maps of indoor scenes. Representing these maps in terms of meaningful entities is a step towards building semantic maps for autonomous robots. One approach is to segment the 3D maps into semantic objects using Conditional Random Fields (CRF), which requires large 3D ground truth datasets to train the classification model. Additionally, the CRF inference is often computationally expensive. In this paper, we present an  ...	2
Kien Nguyen, Clinton Fookes, Sridha Sridharan	2016/9/25	None	Abstract: Deep convolutional neural networks (DCNNs) have been employed in many computer vision tasks with great success due to their robustness in feature learning. One of the advantages of DCNNs is their representation robustness to object locations, which is useful for object recognition tasks. However, this also discards spatial information, which is useful when dealing with topological information of the image (eg scene labeling, face recognition). In this paper, we propose a deeper and wider network architecture to tackle  ...	0
Chuong V Nguyen, Jurgen Fripp, David R Lovell, Robert Furbank, Peter Kuffner, Helen Daily, Xavier Sirault	2016/11/30	None	Abstract: Thin leaves, fine stems, self-occlusion, non-rigid and slowly changing structures make plants difficult for three-dimensional (3D) scanning and reconstruction-two critical steps in automated visual phenotyping. Many current solutions such as laser scanning, structured light, and multiview stereo can struggle to acquire usable 3D models because of limitations in scanning resolution and calibration accuracy. In response, we have developed a fast, low-cost, 3D scanning platform to image plants on a rotating stage with two tilting  ...	0
	None	None	None	0
Shahin Rahmatollahi Namin, Jose M Alvarez, Laurent Kneip, Lars Petersson	2016/9/25	None	Abstract: In the last years, the increasing availability of annotated data has facilitated the great success of supervised learning in real-world applications such as semantic labeling. However, the vast majority of data is nowadays unlabeled or partially annotated. In this paper, we develop an Expected Marginal Latent Structural SVM (EM-LSSVM) framework for performing structured learning in the presence of weakly (partially) annotated data by incorporating the uncertainty of the unobserved data as marginals. Experimental results  ...	1
James Mount, Michael Milford	2016/5/16	None	Abstract: Domestic service robots such as lawn mowing and vacuum cleaning robots are the most numerous consumer robots in existence today. While early versions employed random exploration, recent systems fielded by most of the major manufacturers have utilized range-based and visual sensors and user-placed beacons to enable robots to map and localize. However, active range and visual sensing solutions have the disadvantages of being intrusive, expensive, or only providing a 1D scan of the environment, while the  ...	2
Christopher McCool, Inkyu Sa, Feras Dayoub, Christopher Lehnert, Tristan Perez, Ben Upcroft	2016/5/16	None	Abstract: This paper presents a novel crop detection system applied to the challenging task of field sweet pepper (capsicum) detection. The field-grown sweet pepper crop presents several challenges for robotic systems such as the high degree of occlusion and the fact that the crop can have a similar colour to the background (green on green). To overcome these issues, we propose a two-stage system that performs per-pixel segmentation followed by region detection. The output of the segmentation is used to search for highly probable  ...	6
Huimin Lu, Yujie Li, Xing Xu, Li He, Yun Li, Donald Dansereau, Seiichi Serikawa	2016/9/25	None	Abstract: Vision-based underwater navigation and object detection requires robust computer vision algorithms to operate in turbid water. Many conventional methods aimed at improving visibility in low turbid water. In this paper, we propose a novel contrast enhancement to enhance high turbid underwater images using descattering and color correction. The proposed enhancement method removes the scatter and preserves colors. In addition, as a rule to compare the performance of different image enhancement algorithms, a more  ...	2
Gucan Long, Laurent Kneip, Jose M Alvarez, Hongdong Li, Xiaohu Zhang, Qifeng Yu	2016/10/8	None	Abstract This work presents an unsupervised learning based approach to the ubiquitous computer vision problem of image matching. We start from the insight that the problem of frame interpolation implicitly solves for inter-frame correspondences. This permits the application of analysis-by-synthesis: we first train and apply a Convolutional Neural Network for frame interpolation, then obtain correspondences by inverting the learned CNN. The key benefit behind this strategy is that the CNN for frame interpolation can be trained in an  ...	7
